ICO,AR7,AR30,AR180
0x,43.50753838,21.15710199,115.6114878
holo,1.078509105,0.530763453,0.814773902
centrality,-0.229010658,-0.039768733,-0.528470102
bittorrent,0.984931549,0.533869584,-1.058018025
enjin-coin,-0.082101548,-0.369840525,6.361897982
matic-network,-0.197050472,3.338510919,1.701568906
decentraland,-0.32636668,-1.030286768,1.137484136
ripio-credit-network,-0.332870814,0.15419276,0.445194924
bread,-0.177279804,-0.310039226,-0.327724889
funfair,0.772929707,-0.139200287,-0.618645648
harmony,0.139848696,-0.447908525,-0.580210119
tierion,-0.353248589,-0.539944742,-1.744129684
power-ledger,2.192271324,10.32843575,8.927186639
robotina,0.483678201,1.410639707,2.768988166
celer-network,-0.233095359,-0.67212863,-2.229886461
glitzkoin,-0.311546505,-0.696709875,-1.038739185
1irstcoin,1.159954237,2.176972121,1.682746987
botxcoin,-0.042309634,-0.25875453,-0.370622461
karatgold-coin,0.121922921,0.127641114,0.166711465
latoken,-0.438211387,-0.700349828,-0.86762391
envion,-0.15688808,-0.162535015,-0.470345476
dentacoin,-0.76258498,-0.737342906,-0.158480629
b2bx,-0.850031454,-1.847055094,-0.880602134
cindicator,-0.207069624,-0.32652855,1.650003111
babb,-0.144136118,-0.1478696,0.116736025
btu-protocol,-0.492626435,-0.54374237,-2.017014776
bnktothefuture,0.035854736,1.533497725,-0.12647205
singularitynet,-0.526485077,-0.688723266,-0.515578855
gowithmi,-0.13096233,-0.035077654,
dragonchain,0.519689606,6.447109622,1.575205413
levolution,-0.022625695,-0.198816109,-0.252908342
the-force-protocol,-0.243533518,-0.115112276,-0.411372473
carry,-0.517874157,-0.556110373,-1.089710675
gifto,-0.032569208,0.357570761,0.007040387
lockchain,-0.006722106,1.628082411,0.561373569
quarkchain,-0.398315509,-0.615545253,-0.332384793
foam,-0.528927648,-0.874584409,-1.7536133
perlin,-0.159057104,-0.520836934,
quantstamp,0.416286851,-0.188132881,1.097024806
daostack,-0.323043214,-0.552295876,-0.568818587
fusion,-0.061003159,-0.152125237,-0.370417388
bqt,0.174434173,0.092277496,-1.34946236
time-new-bank,-0.115020363,1.039310187,0.122036728
dropil,0.202818288,-0.28670503,-0.0301483
utrust,2.91755914,1.167958736,-0.155244622
blackmoon,-0.079708194,-0.397250232,-1.308910692
baasid,-0.04425058,-0.284945184,0.320300988
sentinel-protocol,-0.210636835,-0.38971764,-0.311118785
selfkey,-0.162454752,-0.414134178,-0.215771617
origintrail,0.609805727,-0.140419457,-0.244875771
band-protocol,-0.071868165,-0.189642578,
universa,-0.219164174,-0.300239734,-0.398551549
te-food,-0.144268026,-0.082843412,-0.242556943
bluzelle,-0.17441657,-0.628026388,-0.48975375
cashaa,-0.00540981,-0.449859718,-0.39375512
lamden,0.589982776,-0.261691701,-0.323575877
wepower,-0.17875046,-0.269341301,-0.538614232
propy,-0.227944661,-0.956226967,-0.96339817
morpheus-network,0.788016064,-0.030578683,-0.282246285
refereum,-0.254565475,-0.277037641,-0.350529973
blockv,0.026218744,0.545755605,0.503043817
thekey,0.081574289,-0.536089946,-0.620279386
adtoken,-0.534850639,-0.594025826,-4.178274081
jibrel-network,0.185373784,-0.394868119,-0.619366688
remme,-0.197991647,-0.367042599,-0.389211861
v-id,-0.249217347,-0.512641761,-0.562174373
rotharium,-0.12496975,-0.129698923,-0.403024734
commerceblock,0.476500193,0.455956395,-0.472601576
peculium,-0.248731134,-0.209737345,-0.308341275
amo-coin,-0.029348743,0.255075126,-0.214654498
deepbrain-chain,0.545070947,0.774214346,-0.004205695
red-pulse,-0.235214535,-0.265918822,-0.673200099
inlock,0.073046983,-0.109434605,
etherparty,-0.471759971,-0.687868778,0.4601824
polyswarm,0.329648141,0.568667204,-0.258653362
iqeon,0.065737378,-0.023324607,0.827345786
ternio,0.241759994,-0.636330407,-0.428751853
krios,-0.050247631,-0.125325619,-0.22469842
roobee,-0.207291049,-0.365021094,
coinpoker,-0.139407308,-0.153560189,-0.596063882
bolt,0.184853854,-0.002255977,-1.210862526
aeron,0.125007819,-0.941668467,2.729671658
insights-network,-0.190479195,-0.276228392,-0.460375996
lympo,0.273148641,0.62911043,0.286046726
everycoin,0.007295762,-0.146609726,-1.962588469
gold-bits-coin,-0.207359495,0.198681085,-0.001453656
winding-tree,-0.020944905,0.064395259,0.52467783
ubex,0.309810069,-0.029465154,-0.51617886
likecoin,0.027354468,-0.21288827,-0.303873565
blockport,0.036978007,0.397790001,-0.262712136
sense,0.028251803,-0.163504675,-0.393998162
cryptopay,-0.573867585,-0.509200748,-0.391882042
loyalcoin,-0.056505614,-0.291924478,-0.262974425
naga,0.223647471,0.174495401,-0.327400336
effect-ai,-0.058890862,-0.244363855,-0.464613049
linkeye,-0.300788108,-0.456023588,-0.496156062
ampleforth,-0.185289441,-0.202563733,-0.063351385
tixl,-0.08492652,-0.300974542,
cryptaur,0.328523808,-0.033674261,-0.13865652
indahash,-0.535150478,-0.658654689,-0.573329624
menapay,0.126377613,-0.860936624,-0.601986845
lendingblock,-0.091421073,-0.405664085,-0.397312494
airbloc,-0.362779502,-0.293379264,-0.410935751
temco,-0.298607324,-0.623585167,-2.061281308
vetri,0.399674137,1.469862765,-0.164018301
carvertical,-0.239368601,-0.617749573,-0.512669522
multivac,0.093036417,-0.640937139,-1.33560927
cargox,-0.163471181,-0.465683313,-0.509452588
covesting,-0.478134884,-0.64064629,-0.259656383
plair,-0.021261078,0.104061494,-1.945333581
primas,-0.221106654,-0.345597434,-1.549015857
leverj,-0.038887628,-0.256399786,-0.260940573
zper,-0.194633179,-0.284096981,-0.349124851
moneytoken,-0.258784042,-0.474253073,-0.429736228
azbit,-0.074233035,-0.433291537,
0chain,0.267896861,-0.445850444,-0.33970675
smartlands,17.96178857,2.791692541,8.769054103
spankchain,-0.289935445,2.314231744,3.786730622
cryptaldash,0.230808344,-0.100585291,-0.217353843
paytomat,-0.041255847,-0.26226952,-1.101918955
datum,0.562513607,3.005578319,0.16564405
sureremit,-0.225532838,-0.324191912,-0.065894053
cappasity,-0.696661663,8.346868766,0.209342722
redfox-labs,0.555240374,-0.155407511,-0.834254423
cardstack,0.058887566,-0.427955488,-0.389308625
insurepal,-0.059783607,-0.404329164,-0.508281785
pibble,0.074068056,0.146389713,-2.147580112
aidcoin,-0.23069676,-0.522070338,-0.449546153
spiking,-0.444880556,-0.519309025,-0.523486671
axpire,-0.343545875,-0.336613952,-0.482714787
xriba,1.99646476,2.051707315,0.767443621
hacken,-0.15238862,0.148229379,-0.257011867
akropolis,0.386236084,-0.397538444,-0.800980169
qiibee,0.030805336,-0.677431846,-0.526907493
ebcoin,0.04473091,-0.045918904,-0.252276077
cloudbric,-0.146686963,-0.597678957,-1.78333382
infinitus-token,-0.013486662,-0.143941936,-1.311412194
typerium,-0.319047482,-0.524986863,-0.794958492
stk,-0.125379539,-0.681663686,-0.694398935
truefeedback,-0.130769201,-0.063496777,
domraider,-0.531476761,-0.731610381,-1.157388223
experty,-0.51063561,-0.476164894,-0.403134635
copytrack,-0.416232626,-0.408445415,-0.474724037
crycash,0.505114566,-0.014182073,-0.438382231
aventus,-0.277225776,-0.332447259,-2.071925952
vezt,-0.574199832,-0.571875247,-0.404731097
bittwatt,0.465199032,1.294800697,0.097393363
liquidity-network,-0.079327945,-0.288691557,-0.57212648
vodi-x,-0.4381085,-0.627049111,-0.888826183
gamb,-0.09299646,-0.593459401,-1.586973701
uptoken,-0.296821492,-0.115938315,-0.573762226
neurochain,-0.001787978,0.002971027,-0.260683888
colu-local-network,-0.020610575,-0.02046265,-0.372844214
lition,-0.16567211,-0.816928603,-1.062663256
ubcoin-market,-0.126204001,-0.485597991,-0.475311419
playkey,0.527408092,2.988699761,0.252642877
datawallet,-0.392799062,-0.424066107,-0.547580976
sapien,-0.134360513,-0.593371229,-0.246858501
stox,0.057751485,-0.516465969,-3.020084322
faceter,-0.277346341,-0.369088708,-0.472535525
matryx,1.882161461,0.382711215,-0.157528647
flixxo,-0.440565212,-0.624444512,0.005484397
suretly,-0.354960633,-0.645446335,-1.694396848
adbank,-0.33065571,-0.704695047,-0.600527789
membrana,0.091425243,1.438591634,
essentia,-0.452708502,-0.735075951,-0.49897661
olxa,-1.089030029,-1.180839242,-2.323377517
zilla,4.038062858,1.955711502,0.129097128
cotrader,-0.342529402,0.365449154,-2.313467635
0xcert,-0.091168357,-0.568204599,-0.53586764
real,-0.706496112,-1.140995767,-1.185612326
pylon-network,0.09084123,-0.248326701,-0.328370122
bitdegree,-0.317909456,-0.426506727,-0.396710756
hoqu,-0.126805568,-0.09400519,-0.563625795
phi-token,-0.348253561,-0.414549747,-0.400353709
omnitude,-0.213092797,0.140720991,0.372760871
sentinel-chain,0.056254791,1.194133066,-0.771655482
privatix,0.50710037,-1.732507022,-0.260493702
savedroid,-0.267584217,-0.416714168,-0.368056705
coinfi,-0.316516141,-0.640740967,-0.582751774
eristica,-0.422899869,-0.366696531,-0.110480756
iotw,-0.139413072,0.325097371,-0.066384516
auctus,-0.045940962,-0.24527315,-0.63113856
crowd-machine,-0.3736632,-0.318951133,-0.564699673
jet8,-0.272804127,-0.371125681,-0.521078613
ink-protocol,-0.326323086,-0.252131605,-0.413537164
on-live,0.041952966,-0.448277836,0.312237714
cobinhood,0.137158313,-0.053673693,-0.202465944
sharpay,-0.062234244,0.311684661,-0.547880627
dether,-0.210941004,-0.342070781,-0.37419768
robet,-0.208982671,0.185721941,2.066919294
fire-lotto,-0.508737208,-0.501451464,-0.40241217
birdchain,-0.341834406,-0.035043096,
autonio,12.5187357,14.33421343,16.44690762
trakinvest,-0.275180732,-0.453806626,-0.577776051
artis-turba,0.516207467,0.376614336,
hellogold,-0.522977376,-0.807982489,-0.04670694
blocktix,0.789468673,-0.303539483,1.327180578
clearpoll,-0.286022115,-0.1584761,0.908552741
hold,-0.069851317,-0.353288565,-0.296671029
ethersportz,-0.384186928,-0.415055531,-0.498347592
lampix,0.029326585,-0.706440614,-1.904335362
arbidex,-0.145556668,0.065954654,0.171324279
p2p-global-network,-0.621958757,-0.932141148,-1.012219341
adhive,0.281861294,0.159911616,-0.513908507
elysian,-0.328822156,-0.365493298,-0.362869542
coinlancer,-0.127698392,-0.315444122,-0.374979238
devery,-0.111285874,-0.501653349,-0.447876399
simdaq,0.255034746,-0.018431628,-0.232361408
bonpay,-0.637710012,-0.763223231,-0.621744047
transcodium,-0.235843246,-0.395792983,-0.566368615
srcoin,-0.595938264,-0.611273146,-0.528363031
tv-two,0.428753179,0.002735222,-0.502822277
taklimakan-network,-0.012385673,-0.509606249,
betterbetting,-0.199196917,0.283081899,-0.528308644
jsecoin,-0.185302455,0.405768906,-0.467630342
mybit,0.207849202,-0.118297822,0.002809401
parkgene,0.345467719,-0.089748371,-0.382412938
patron,0.53922171,-0.223489155,-0.363914014
menlo-one,-0.140599326,-0.267346977,-0.86906322
tokenbox,-0.24269004,-0.320100456,-0.527484625
traxia,-0.040042195,-0.472286251,-0.393549238
scanetchain,-0.194091176,-0.281941369,-2.518742126
rightmesh,-0.240829184,-0.455546494,-0.260956855
eventchain,-0.771462343,-0.010669675,-0.6067969
leadcoin,0.215393921,-0.606465561,-0.629874165
fundrequest,-0.063126744,-0.418809368,-0.568690836
evedo,0.073832069,-0.000604658,-0.818244669
cfun,-0.3248675,-0.33251861,-0.322371021
rentberry,-0.337658523,-0.53717462,-0.785820537
paymon,0.221425914,0.081579601,-0.313860815
cyclean,-0.068454798,-0.577826288,-0.617410449
mywish,-0.753147033,-0.395984435,-0.259579264
daneel,3.156893526,1.43983336,0.118634637
webcoin,0.676570387,0.877763281,0.888624109
bitnation,-0.206648601,-0.737750141,-0.466590276
bitcoinus,-0.308720475,-0.558682709,-0.634138709
fabric-token,0.354952279,-0.382569739,-0.563085637
coinchase,0.026072254,-0.40389081,
internationalcryptox,-0.013584923,-0.275938857,-0.30051099
bitclave,0.759193978,-0.392091221,-0.384425317
naviaddress,-0.203432055,-0.579925234,-0.482105462
connectjob,-0.011821813,-0.223018339,-0.6091525
incodium,-0.430205425,-0.080407259,-0.753987696
bitrewards,-0.024442067,-0.235398925,-0.269130722
araw,0.075677182,0.834262836,-2.375143531
iungo,-0.537382525,-0.918661069,-0.746954733
emphy,-0.234061899,-1.845945689,-1.094190358
sonder,-0.412185872,-0.410583344,-0.691786124
intervalue,-0.008552154,-0.001535722,-0.556351487
joint-ventures,0.472900467,-0.612702858,-0.514716977
hurify,-0.128519568,-0.469401685,-0.449119607
bulleon,-0.45705328,-0.586482577,-3.031474233
kuende,-0.080852767,0.005174453,-0.870021285
natmin-pure-escrow,-0.557372517,-1.249941935,-1.332029044
fox-trading,1.400428418,0.246093673,2.187800072
shping,-0.248413776,0.314965939,0.372694271
payfair,-0.625663751,3.420176655,2.798383626
bunnytoken,0.089700847,0.769594843,-0.450607253
4new,-0.243182009,-0.462037081,-0.54362397
asura-coin,0.138456832,0.102948231,-0.589030151
crystal-clear,-0.743536748,-1.207766087,-1.337651773
bitrent,0.037823154,0.431736196,-0.595880896
authorship,-0.16117014,-0.885789984,-0.944110606
verime,-0.31363562,-0.588123311,-0.591924981
travelnote,-0.308934569,-0.628546993,-2.589414251
cointorox,-0.519710111,-0.976653452,-2.41122732
fortem-capital,7.646146943,3.189545202,
game-stars,1.064185907,0.141705777,0.441993483
spin-protocol,-0.186753629,-0.272191465,-0.318329751
consentium,0.104642338,-0.033910085,1.19105798
playcoin,-0.178218062,0.051867964,-0.301034102
celsius,-0.348855418,-0.390498234,-0.150167817
iou,-0.042980587,-0.16557599,-0.104660534
innovaminex,1.498588246,-0.413331517,-0.522862055
creatanium,0.093440408,0.044232596,
krypton-galaxy-coin,0.112674318,-0.222978991,
dacc,0.061289256,-0.294502882,-0.320359155
venjocoin,4.519555045,4.303508924,5.327905136
aitheon,-0.458829869,-0.033597111,
izichain,-0.070349206,3.803418913,-0.885657304
nairax,-0.015955714,,
idealcoin,-0.570240232,-0.681762221,
lemochain,-0.07034445,-0.543365491,-0.419288847
sparkster,-0.286199426,-0.56228223,-0.839381504
zerobank,-0.100200523,-0.518468656,-0.65264648
aerum,-0.636439944,-0.744404204,
kappi-network,-0.339885292,-0.478882145,
xtrd,0.499300913,-0.084219121,-0.235769299
gazecoin,0.080004373,-0.287349164,0.807859466
gamblica,-0.240694806,1.398504183,-2.524589977
oath-protocol,0.904356352,1.503437135,
fintab,0.029887774,-0.379713176,-0.520210307
bolttcoin,-0.000172862,-0.342023127,-2.542448526
localcoinswap,-0.200305192,0.047182697,-0.255008101
play-game,-0.215290555,0.045060951,-2.190713191
hybridblock,-0.193947988,-0.466692814,-0.466753387
medicalchain,0.031074004,-0.414922169,-0.583687836
coinlion,-0.1239306,-0.223867822,-0.456321528
bob-s-repair,-0.285666591,-0.555605588,-0.329928441
loci-coin,-0.262690046,-0.70404421,-0.557420831
napoleon-x,0.046327812,0.414115097,-0.037436926
true-flip,-0.320133999,-0.441366626,-2.10169242
energi-token,0.077091327,-0.556061848,-0.452872772
one-ledger,0.267711178,-0.550496618,-0.46359062
po-et,-0.328863545,-0.469353359,0.559805373
educoin,-0.203438576,-0.408696173,-0.594710834
electrify-asia,0.437135534,0.077925879,-0.491746607
blockarray,0.132875197,-0.507257878,-0.485364524
basic-attention,0.251073017,-0.354341455,-2.565974917
dxchain,-0.445550848,-0.409712255,-0.214555406
bibox,0.140989491,0.908743092,1.664437495
bitforex,-0.088465439,0.019700456,
raiden-network,1.109245786,-0.072422106,0.134129479
sirin-labs,0.548234404,3.177313278,-0.272707932
vegawallet,-0.007974028,0.126992074,-2.008998348
aidus,-0.020300961,-0.135311704,-1.946274058
coinmetro,-0.0153506,-0.123357756,
cybr,-0.247836981,-0.159357185,
thrive,-0.063801568,-0.668628669,-0.291973788
bitscreener,-0.015628602,-0.098468127,-0.252008475
provoco,-0.216104348,-0.554799046,-0.856848116
bitnautic,0.275882226,5.181953816,-0.657388903
alt-estate,-0.48764856,-0.510798049,-0.5354847
wpp,-0.196496526,-1.178688018,-1.339334928
sola,0.562939374,0.564761264,-0.0665114
kora-network,-0.113681842,-0.1446252,-0.431015698
yobit,-0.115013255,-0.156803359,
probit,0.063032267,0.148446669,
duo-network,0.531675433,-0.743974569,-1.568742771
esports,0.002035124,-0.422144738,-0.345153912
