Name,Start Date,End Date,Soft Cap,Hard Cap,Funds Raised,Amount of Tokens at ICO,Consensus Mechanisms,Purpose,Type,Platform,On Exchanges?,Market Price,Market Volume,Market Cap,Circulating Supply,Bullish vs. Bearish Sentiment,Popularity
Zloadr (ZDR),,8/31/2017,,,,,,,,,,,,,,,
Monetha (MTH),8/30/2017,9/29/2017,,,,,,,,,,,,,,,
Musiconomi (MCI),8/28/2017,9/29/2017,,,,,,,,,,,,,,,
Native Currency (NATV),8/31/2017,9/29/2017,,,,,,,,,,,,,,,
Oxycoin (OXY),8/31/2017,9/29/2017,,,,,,,,,,,,,,,
REAL (REAL),8/30/2017,9/29/2017,,,,,,,,,,,,,,,
uooMAG (UMC),8/31/2017,9/29/2017,,,,,,,,,,,,,,,
KICKICO (KCX),8/28/2017,9/28/2017,,,,,,,,,,,,,,,
Cindicator (CND),9/11/2017,9/27/2017,,,,,,,,,,,,,,,
Solomon Exchange (SMNX),8/27/2017,9/27/2017,,,,,,,,,,,,,,,
Centra (CTR),9/18/2017,9/24/2017,,,,,,,,,,,,,,,
Kik (KIN),9/11/2017,9/24/2017,,,,,,,,,,,,,,,
Privateers.Life (LDM),8/27/2017,9/24/2017,,,,,,,,,,,,,,,
Modum.io (MOD),8/31/2017,9/21/2017,,,,,,,,,,,,,,,
Cloud Token (CLD),7/24/2017,9/20/2017,,,,,,,,,,,,,,,
HotelCoin (HTC),8/20/2017,9/20/2017,,,,,,,,,,,,,,,
ICON (ICX),9/19/2017,9/19/2017,,,,,,,,,,,,,,,
Smart Contract (SALES),8/19/2017,9/18/2017,,,,,,,,,,,,,,,
Streamr – presale (DATA),9/11/2017,9/18/2017,,,,,,,,,,,,,,,
KyberNetwork (KNC),9/14/2017,9/16/2017,,,,,,,,,,,,,,,
ATBcoin (ATB),6/11/2017,9/14/2017,,,,,,,,,,,,,,,
BitDice Casino (CSNO),8/14/2017,9/14/2017,,,,,,,,,,,,,,,
FaceCoin (FC),8/14/2017,9/14/2017,,,,,,,,,,,,,,,
ICOBox (ICOS),8/14/2017,9/14/2017,,,,,,,,,,,,,,,
Smart Investment Fund Token (SIFT),7/31/2017,9/14/2017,,,,,,,,,,,,,,,
Social (SCL),8/16/2017,9/14/2017,,,,,,,,,,,,,,,
ZeroTraffic (ZTT),8/13/2017,9/14/2017,,,,,,,,,,,,,,,
Propy (PRO),8/14/2017,9/13/2017,,,,,,,,,,,,,,,
Blackmoon Crypto (BMC),9/11/2017,9/12/2017,,,,,,,,,,,,,,,
s3entigrapH (GRAPH),8/13/2017,9/12/2017,,,,,,,,,,,,,,,
Aventus (AVT),9/5/2017,9/11/2017,,,,,,,,,,,,,,,
Enigma Catalyst (ECAT),9/10/2017,9/11/2017,,,,,,,,,,,,,,,
Filecoin (FIL),8/9/2017,9/9/2017,,,,,,,,,,,,,,,
Substratum (SUB),8/6/2017,9/6/2017,,,,,,,,,,,,,,,
Po.et (POE),8/7/2017,9/4/2017,,,,,,,,,,,,,,,
ChronoLogic (DAY),8/27/2017,9/3/2017,,,,,,,,,,,,,,,
TargetCoin (TGT),7/14/2017,8/30/2017,,,,,,,,,,,,,,,
XPLAY (XPA),8/6/2017,8/30/2017,,,,,,,,,,,,,,,
BitBounce (CREDO),7/25/2017,8/29/2017,,,,,,,,,,,,,,,
Dimcoin (DIM),6/30/2017,8/27/2017,,,,,,,,,,,,,,,
Decentraland (MANA),8/17/2017,8/17/2017,,,,,,,,,,,,,,,
Tierion (TNT),7/26/2017,8/17/2017,,,,,,,,,,,,,,,
Agrello (DLT),7/15/2017,8/16/2017,,,,,,,,,,,,,,,
0x (ZRX),8/14/2017,8/15/2017,,,,,,,,,,,,,,,
Populous (PPT),7/15/2017,8/15/2017,,,,,,,,,,,,,,,
BlockCAT (CAT),7/14/2017,8/13/2017,,,,,,,,,,,,,,,
Hive Project (HVN),7/2/2017,8/13/2017,,,,,,,,,,,,,,,
Stox (STX),7/26/2017,8/9/2017,,,,,,,,,,,,,,,
ACT (ACT),7/17/2017,7/31/2017,,,,,,,,,,,,,,,
BitClave – presale (CAT),7/24/2017,7/31/2017,,,,,,,,,,,,,,,
district0x Network (DNT),7/17/2017,7/31/2017,,,,,,,,,,,,,,,
Giga Watt (WTT),6/1/2017,7/30/2017,,,,,,,,,,,,,,,
Blocktix (TIX),7/6/2017,7/27/2017,,,,,,,,,,,,,,,
TrueFlip (TFL),6/27/2017,7/27/2017,,,,,,,,,,,,,,,
Dao.Casino (BET),6/28/2017,7/25/2017,,,,,,,,,,,,,,,
Primalbase (PBT),6/25/2017,7/25/2017,,,,,,,,,,,,,,,
CoinDash (CDT),7/16/2017,7/16/2017,,,,,,,,,,,,,,,
Pillar (PLR),7/14/2017,7/16/2017,,,,,,,,,,,,,,,
SONM (SNM),6/14/2017,7/14/2017,,,,,,,,,,,,,,,
InsureX (IXT),7/10/2017,7/12/2017,,,,,,,,,,,,,,,
Tezos (XTZ),6/30/2017,7/12/2017,,,,,,,,,,,,,,,
Nimiq (NET),6/27/2017,7/11/2017,,,,,,,,,,,,,,,
Polybius (PLBT),5/30/2017,7/4/2017,,,,,,,,,,,,,,,
Santiment (SAN),7/3/2017,7/3/2017,,,,,,,,,,,,,,,
Starta (STA),7/3/2017,7/3/2017,,,,,,,,,,,,,,,
OpenANX (OAX),6/21/2017,7/2/2017,,,,,,,,,,,,,,,
EncryptoTel (ETT),4/23/2017,6/30/2017,,,,,,,,,,,,,,,
Stremio Adex (ADX),6/29/2017,6/29/2017,,,,,,,,,,,,,,,
Air (XID),5/31/2017,6/28/2017,,,,,,,,,,,,,,,
DCORP (DRP),5/31/2017,6/28/2017,,,,,,,,,,,,,,,
21 Million (21M),6/11/2017,6/27/2017,,,,,,,,,,,,,,,
OmiseGO (OMG),6/26/2017,6/26/2017,,,,,,,,,,,,,,,
NVO (NVO),5/22/2017,6/24/2017,,,,,,,,,,,,,,,
Wagerr (WGR),5/31/2017,6/24/2017,,,,,,,,,,,,,,,
TenX (PAY),6/23/2017,6/23/2017,,,,,,,,,,,,,,,
Civic (CVC),6/20/2017,6/21/2017,,,,,,,,,,,,,,,
Status (SNT),6/16/2017,6/20/2017,,,,,,,,,,,,,,,
Monaco (MCO),5/17/2017,6/17/2017,,,,,,,,,,,,,,,
Bancor Protocol (BANCOR),6/11/2017,6/11/2017,,,,,,,,,,,,,,,
Aeternity 2 (XAE),5/28/2017,6/8/2017,,,,,,,,,,,,,,,
Zrcoin (ZRC),5/10/2017,6/8/2017,,,,,,,,,,,,,,,
Cofound.it (CFI),6/3/2017,6/5/2017,,,,,,,,,,,,,,,
Patientory (PTOY),5/30/2017,6/2/2017,,,,,,,,,,,,,,,
Basic Attention Token (BAT),5/30/2017,5/30/2017,,,,,,,,,,,,,,,
Exscudo (EON),4/24/2017,5/30/2017,,,,,,,,,,,,,,,
Mysterium Network (MYST),5/29/2017,5/29/2017,,,,,,,,,,,,,,,
Veritaseum (VER),4/24/2017,5/25/2017,,,,,,,,,,,,,,,
MobileGo (MOBILEGO),4/24/2017,5/24/2017,,,,,,,,,,,,,,,
Storj (STORJ),5/18/2017,5/24/2017,,,,,,,,,,,,,,,
Aragon (ANT),5/16/2017,5/16/2017,,,,,,,,,,,,,,,
BitcoinGrowthFund (MCAP),4/26/2017,5/16/2017,,,,,,,,,,,,,,,
BOScoin (BOS),5/8/2017,5/9/2017,,,,,,,,,,,,,,,
Nexxus (NXX),5/7/2017,5/7/2017,,,,,,,,,,,,,,,
Quantum Resistant Ledger (QRL),4/30/2017,5/6/2017,,,,,,,,,,,,,,,
TokenCard (TKN),5/1/2017,5/1/2017,,,,,,,,,,,,,,,
Humaniq (HMQ),4/5/2017,4/26/2017,,,,,,,,,,,,,,,
TaaS (TAAS),3/26/2017,4/26/2017,,,,,,,,,,,,,,,
Gnosis (GNO),4/23/2017,4/23/2017,,,,,,,,,,,,,,,
IEX.EC (RLC),4/18/2017,4/18/2017,,,,,,,,,,,,,,,
Rchain (RCOIN),4/4/2017,4/15/2017,,,,,,,,,,,,,,,
WeTrust (TRST),3/2/2017,4/11/2017,,,,,,,,,,,,,,,
Blockchain Capital (BCAP),4/9/2017,4/9/2017,,,,,,,,,,,,,,,
MetaGold (MEG),4/2/2017,4/7/2017,,,,,,,,,,,,,,,
Aeternity 1 (XAE),4/2/2017,4/5/2017,,,,,,,,,,,,,,,
Cosmos Network (ATOM),4/5/2017,4/5/2017,,,,,,,,,,,,,,,
Matchpool (GUP),4/1/2017,4/2/2017,,,,,,,,,,,,,,,
AKM GLOBAL (AKM),9/29/2017,3/31/2017,,,,,,,,,,,,,,,
Qtum (QTUM),3/15/2017,3/20/2017,,,,,,,,,,,,,,,
Safe Haven (SHA),12/10/2017,3/14/2017,,,,,,,,,,,,,,,
Dogezer (DGZ),1/15/2018,3/8/2017,,,,,,,,,,,,,,,
Utemis (UTS),1/8/2017,3/8/2017,,,,,,,,,,,,,,,
Augmentors (DBT),1/31/2017,3/1/2017,,,,,,,,,,,,,,,
Lykke (Lykke),2/9/2017,2/28/2017,,,,,,,,,,,,,,,
VentureOn (VNN),10/31/2017,2/26/2017,,,,,,,,,,,,,,,
Vesa (VSA),12/20/2017,2/28/2018,,,"$85,291,962.00 ",,,,,,No,$2.56 ,,,,,
Melon (MLN),2/15/2017,2/15/2017,,,"$2,900,000.00 ",,,,"Token, Investment System",,Yes,$189.70 ,"$771,632.00 ","$113,706,779.00 ",79.98%,,
Chronobank (LH),12/15/2016,2/14/2017,,,"$5,400,000.00 ",,,,"Token, Recruitment System",,Yes,$31.07 ,"$208,412.00 ","$22,062,637.00 ","710,113 TIME",,
Ril Coin (RIL),10/31/2017,2/14/2017,,,,,,,,,,,,,,,
Dfinity (DFN),2/11/2017,2/12/2017,,,"$3,750,000.00 ",,,,Cloud Platform,,No,,,,,,
DARFchain (DARF),10/31/2017,1/30/2017,,,,,,,,,,,,,,,
AdMine (MCN),12/18/2017,1/19/2017,,,,,,,,,,,,,,,
KeepPet (PET),12/31/2017,1/15/2017,,,,,,,,,,,,,,,
Wings (WINGS),11/18/2016,1/6/2017,,,2.07,,,,Token,,Yes,1.09,"$4,323,400.00 ","$97,482,457.00 ",89.71%,,
vDice (vSlice),11/15/2016,12/15/2016,,,1.65,,,,Web App,,No,,,,,,
Ark (ARK),11/7/2016,12/11/2016,,,1,,,,Coin,,Yes,$6.70 ,"$4,840,480.00 ","$656,078,758.00 ",74.64%,,
Komodo (KMD),10/14/2016,11/20/2016,,,1.98,,,,Coin,,Yes,$7.09 ,"$5,756,310.00 ","$733,178,600.00 ",,,
Golem (GNT),11/11/2016,11/11/2016,,,8.6,,,,Token,,Yes,$0.59 ,"$9,344,090.00 ","$493,256,573.00 ",83.43%,,
,,,,,,,,,,,,,,,,,
Internxt,,,,,,,,,,,,,,,,,
Solomon Exchange,,,,,,,,,,,,,,,,,
Hackspace Capital,,,,,,,,,,,,,,,,,
Impak Finance,,,,,,,,,,,,,,,,,
Modum.io,,,,,,,,,,,,,,,,,
DetectorToken,,,,,,,,,,,,,,,,,
SilentNotary,,,,,,,,,,,,,,,,,
Intelligent Trading Tech,,,,,,,,,,,,,,,,,
KyberNetwork,,,,,,,,,,,,,,,,,
KICKICO,,,,,,,,,,,,,,,,,
ATB Coin,,,,,,,,,,,,,,,,,
Smart Investment Fund Token,,,,,,,,,,,,,,,,,
Trackr,,,,,,,,,,,,,,,,,
Propy,,,,,,,,,,,,,,,,,
FaceCoin,,,,,,,,,,,,,,,,,
ICObox,,,,,,,,,,,,,,,,,
Social(SCL),,,,,,,,,,,,,,,,,
BitDice,,,,,,,,,,,,,,,,,
Aventus,,,,,,,,,,,,,,,,,
Enigma Catalyst,,,,,,,,,,,,,,,,,
Ahoolee,,,,,,,,,,,,,,,,,
StuffGoGo,,,,,,,,,,,,,,,,,
Prospector,,,,,,,,,,,,,,,,,
Rivetz,,,,,,,,,,,,,,,,,
OneGram,,,,,,,,,,,,,,,,,
Filecoin,,,,,,,,,,,,,,,,,
fujinto,,,,,,,,,,,,,,,,,
Alpen Coin,,,,,,,,,,,,,,,,,
Hubii,,,,,,,,,,,,,,,,,
Revain,,,,,,,,,,,,,,,,,
Substratum,,,,,,,,,,,,,,,,,
WorldWide Anonymous Messaging,,,,,,,,,,,,,,,,,
COSS,,,,,,,,,,,,,,,,,
Indorse,,,,,,,,,,,,,,,,,
Viberate,,,,,,,,,,,,,,,,,
FinShi Capital,,,,,,,,,,,,,,,,,
Moeda,,,,,,,,,,,,,,,,,
ATB Coin,,,,,,,,,,,,,,,,,
XPlay,,,,,,,,,,,,,,,,,
DMarket,,,,,,,,,,,,,,,,,
Corion,,,,,,,,,,,,,,,,,
DimCoin,,,,,,,,,,,,,,,,,
Opus,,,,,,,,,,,,,,,,,
Paquarium,,,,,,,,,,,,,,,,,
Agrello,,,,,,,,,,,,,,,,,
Tierion,,,,,,,,,,,,,,,,,
Blocktix,,,,,,,,,,,,,,,,,
MonsterByte,,,,,,,,,,,,,,,,,
CoinDash,,,,,,,,,,,,,,,,,
district0x Network,,,,,,,,,,,,,,,,,
SunContract,,,,,,,,,,,,,,,,,
FundYourselfNow,,,,,,,,,,,,,,,,,
Giga Watt Token,,,,,,,,,,,,,,,,,
Blocktix,,,,,,,,,,,,,,,,,
RootProject,,,,,,,,,,,,,,,,,
TrueFlip,,,,,,,,,,,,,,,,,
GeoFounders,,,,,,,,,,,,,,,,,
Primalbase,,,,,,,,,,,,,,,,,
Dent,,,,,,,,,,,,,,,,,
Eros,,,,,,,,,,,,,,,,,
SkinCoin,,,,,,,,,,,,,,,,,
Gilgam,,,,,,,,,,,,,,,,,
Gilgam.es,,,,,,,,,,,,,,,,,
Pillar,,,,,,,,,,,,,,,,,
CoinDash,,,,,,,,,,,,,,,,,
Sumerchain,,,,,,,,,,,,,,,,,
Mothership,,,,,,,,,,,,,,,,,
Bitquence,,,,,,,,,,,,,,,,,
PressOne,,,,,,,,,,,,,,,,,
SONM,,,,,,,,,,,,,,,,,
Orocrypt,,,,,,,,,,,,,,,,,
Fuck,,,,,,,,,,,,,,,,,
Tezos,,,,,,,,,,,,,,,,,
InsureX,,,,,,,,,,,,,,,,,
Nimiq,,,,,,,,,,,,,,,,,
ATBcoin,,,,,,,,,,,,,,,,,
LeviarCoin,,,,,,,,,,,,,,,,,
OnPlace,,,,,,,,,,,,,,,,,
Polybius,,,,,,,,,,,,,,,,,
Santiment,,,,,,,,,,,,,,,,,
OpenANX,,,,,,,,,,,,,,,,,
Rialto,,,,,,,,,,,,,,,,,
Starta,,,,,,,,,,,,,,,,,
CrypViser,,,,,,,,,,,,,,,,,
Rialto.AI,,,,,,,,,,,,,,,,,
EncryptoTel,,,,,,,,,,,,,,,,,
AdEx,,,,,,,,,,,,,,,,,
BlockPool,,,,,,,,,,,,,,,,,
DCORP,,,,,,,,,,,,,,,,,
Air,,,,,,,,,,,,,,,,,
21 Million,,,,,,,,,,,,,,,,,
SilverCoin,,,,,,,,,,,,,,,,,
iDice,,,,,,,,,,,,,,,,,
Octanox,,,,,,,,,,,,,,,,,
Wagerr,,,,,,,,,,,,,,,,,
CryptoPing,,,,,,,,,,,,,,,,,
NVO,,,,,,,,,,,,,,,,,
TenX,,,,,,,,,,,,,,,,,
MaskNetwork,,,,,,,,,,,,,,,,,
OmiseGO,,,,,,,,,,,,,,,,,
FootballCoin,,,,,,,,,,,,,,,,,
Civic,,,,,,,,,,,,,,,,,
Status,,,,,,,,,,,,,,,,,
Internet of Coins,,,,,,,,,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,
BidLend,,,,,,,,,,,,,,,,,
Minexcoin,,,,,,,,,,,,,,,,,
SuperDAO,,,,,,,,,,,,,,,,,
Bancor,,,,,,,,,,,,,,,,,
Aira,,,,,,,,,,,,,,,,,
Zrcoin,,,,,,,,,,,,,,,,,
EcoBit,,,,,,,,,,,,,,,,,
Cofound.it,,,,,,,,,,,,,,,,,
VOISE,,,,,,,,,,,,,,,,,
Patientory,,,,,,,,,,,,,,,,,
Embermine,,,,,,,,,,,,,,,,,
Adel,,,,,,,,,,,,,,,,,
Basic Attention Token,,,,,,,,,,,,,,,,,
Exscudo,,,,,,,,,,,,,,,,,
Mysterium Network,,,,,,,,,,,,,,,,,
Suretly,,,,,,,,,,,,,,,,,
Veritaseum,,,,,,,,,,,,,,,,,
Metal,,,,,,,,,,,,,,,,,
MobileGo,,,,,,,,,,,,,,,,,
Storj,,,,,,,,,,,,,,,,,
E4ROW,,,,,,,,,,,,,,,,,
Viva Coin,,,,,,,,,,,,,,,,,
Aragon,,,,,,,,,,,,,,,,,
BitcoinGrowthFund,,,,,,,,,,,,,,,,,
Peerplays,,,,,,,,,,,,,,,,,
Ethbits,,,,,,,,,,,,,,,,,
Legends Room,,,,,,,,,,,,,,,,,
BOScoin,,,,,,,,,,,,,,,,,
Nexxus,,,,,,,,,,,,,,,,,
Quantum Resistant Ledger,,,,,,,,,,,,,,,,,
TokenCard,,,,,,,,,,,,,,,,,
Creativechain,,,,,,,,,,,,,,,,,
Apptrade,,,,,,,,,,,,,,,,,
Lunyr,,,,,,,,,,,,,,,,,
Back to Earth,,,,,,,,,,,,,,,,,
TaaS,,,,,,,,,,,,,,,,,
Humaniq,,,,,,,,,,,,,,,,,
Gnosis,,,,,,,,,,,,,,,,,
IEX.EC,,,,,,,,,,,,,,,,,
WeTrust,,,,,,,,,,,,,,,,,
Blockchain Capital,,,,,,,,,,,,,,,,,
Aeternity,,,,,,,,,,,,,,,,,
Cosmos Network,,,,,,,,,,,,,,,,,
Cosmos,,,,,,,,,,,,,,,,,
Matchpool,,,,,,,,,,,,,,,,,
Equibit,,,,,,,,,,,,,,,,,
Chain of Points,,,,,,,,,,,,,,,,,
CashScripter,,,,,,,,,,,,,,,,,
Qtum,,,,,,,,,,,,,,,,,
Edgeless,,,,,,,,,,,,,,,,,
Lykke,,,,,,,,,,,,,,,,,
Augmentors,,,,,,,,,,,,,,,,,
Lykke (2nd round),,,,,,,,,,,,,,,,,
Contingency,,,,,,,,,,,,,,,,,
Etheroll,,,,,,,,,,,,,,,,,
Melon,,,,,,,,,,,,,,,,,
Chronobank,,,,,,,,,,,,,,,,,
Dfinity,,,,,,,,,,,,,,,,,
Tokes,,,,,,,,,,,,,,,,,
Wings,,,,,,,,,,,,,,,,,
BetKing,,,,,,,,,,,,,,,,,
Darcrus,,,,,,,,,,,,,,,,,
BlockCDN,,,,,,,,,,,,,,,,,
Ether.camp,,,,,,,,,,,,,,,,,
Virtual Accelerator,,,,,,,,,,,,,,,,,
Mysterium (1st round),,,,,,,,,,,,,,,,,
vDice,,,,,,,,,,,,,,,,,
Ark,,,,,,,,,,,,,,,,,
Golos,,,,,,,,,,,,,,,,,
Incent,,,,,,,,,,,,,,,,,
Beyond the Void,,,,,,,,,,,,,,,,,
MassNetwork,,,,,,,,,,,,,,,,,
Arcade City,,,,,,,,,,,,,,,,,
ETCWin,,,,,,,,,,,,,,,,,
Komodo,,,,,,,,,,,,,,,,,
Golem,,,,,,,,,,,,,,,,,
Kibo Lotto,,,,,,,,,,,,,,,,,
Decent,,,,,,,,,,,,,,,,,
Synereo,,,,,,,,,,,,,,,,,
Lykke (1st round),,,,,,,,,,,,,,,,,
SingularDTV,,,,,,,,,,,,,,,,,
Iconomi,,,,,,,,,,,,,,,,,
First Blood,,,,,,,,,,,,,,,,,
Antshares,,,,,,,,,,,,,,,,,
Metaverse,,,,,,,,,,,,,,,,,
BlockPay,,,,,,,,,,,,,,,,,
Elastic,,,,,,,,,,,,,,,,,
HEAT,,,,,,,,,,,,,,,,,
Icoo,,,,,,,,,,,,,,,,,
Xaurum,,,,,,,,,,,,,,,,,
Stratis,,,,,,,,,,,,,,,,,
Breakout Coin,,,,,,,,,,,,,,,,,
Waves,,,,,,,,,,,,,,,,,
Rise,,,,,,,,,,,,,,,,,
Plutus,,,,,,,,,,,,,,,,,
Mycelium  (2nd round),,,,,,,,,,,,,,,,,
The DAO,,,,,,,,,,,,,,,,,
Project Decorum,,,,,,,,,,,,,,,,,
Ionomy,,,,,,,,,,,,,,,,,
DigixGlobal,,,,,,,,,,,,,,,,,
DigixDAO,,,,,,,,,,,,,,,,,
Lisk,,,,,,,,,,,,,,,,,
Obits,,,,,,,,,,,,,,,,,
Iota,,,,,,,,,,,,,,,,,
Augur,,,,,,,,,,,,,,,,,
Spells of Genesis,,,,,,,,,,,,,,,,,
Factom,,,,,,,,,,,,,,,,,
NeuCoin,,,,,,,,,,,,,,,,,
DacPlay,,,,,,,,,,,,,,,,,
GetGems,,,,,,,,,,,,,,,,,
MUSE,,,,,,,,,,,,,,,,,
SuperNET,,,,,,,,,,,,,,,,,
Ethereum,,,,,,,,,,,,,,,,,
Storjcoin X,,,,,,,,,,,,,,,,,
Swarm,,,,,,,,,,,,,,,,,
MaidSafeCoin,,,,,,,,,,,,,,,,,
Counterparty,,,,,,,,,,,,,,,,,
